Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HG4,NO,3/1/2013 19:30,3,ug m-3,P
HG4,NO,3/1/2013 19:45,2,ug m-3,P
HG4,NO,3/1/2013 20:00,2,ug m-3,P
HG4,NO,3/1/2013 20:15,2,ug m-3,P
HG4,NO,3/1/2013 20:30,2,ug m-3,P
HG4,NO,3/1/2013 20:45,2,ug m-3,P
HG4,NO,3/1/2013 21:00,2,ug m-3,P
HG4,NO,3/1/2013 21:15,2,ug m-3,P
HG4,NO,3/1/2013 21:30,2,ug m-3,P
HG4,NO,3/1/2013 21:45,2,ug m-3,P
HG4,NO,3/1/2013 22:00,2,ug m-3,P
HG4,NO,3/1/2013 22:15,2,ug m-3,P
HG4,NO,3/1/2013 22:30,2,ug m-3,P
HG4,NO,3/1/2013 22:45,1,ug m-3,P
HG4,NO,3/1/2013 23:00,2,ug m-3,P
HG4,NO,3/1/2013 23:15,1,ug m-3,P
HG4,NO,3/1/2013 23:30,1,ug m-3,P
HG4,NO,3/1/2013 23:45,1,ug m-3,P
HG4,NO,4/1/2013 0:00,1,ug m-3,P
HG4,NO,4/1/2013 0:15,1,ug m-3,P
HG4,NO,4/1/2013 0:30,1,ug m-3,P
HG4,NO,4/1/2013 0:45,,ug m-3,P
HG4,NO,4/1/2013 1:00,,ug m-3,P
HG4,NO,4/1/2013 1:15,1,ug m-3,P
HG4,NO,4/1/2013 1:30,1,ug m-3,P
HG4,NO,4/1/2013 1:45,1,ug m-3,P
HG4,NO,4/1/2013 2:00,1,ug m-3,P
HG4,NO,4/1/2013 2:15,1,ug m-3,P
HG4,NO,4/1/2013 2:30,1,ug m-3,P
HG4,NO,4/1/2013 2:45,1,ug m-3,P
HG4,NO,4/1/2013 3:00,1,ug m-3,P
HG4,NO,4/1/2013 3:15,1,ug m-3,P
HG4,NO,4/1/2013 3:30,1,ug m-3,P
HG4,NO,4/1/2013 3:45,1,ug m-3,P
HG4,NO,4/1/2013 4:00,1,ug m-3,P
HG4,NO,4/1/2013 4:15,1,ug m-3,P
